id,pid,status,mother1,mother2,px,py,pz,m,scale,pol,xProd,yProd,zProd,tau
0,90,-11,0,0,0,0,0,14000,0,9,0,0,0,0
1,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
2,2212,-12,0,0,0,0,0,0.93827,0,9,0,0,0,0
3,21,-21,10,10,0,0,0,0,23.8547,9,0,0,0,0
4,21,-21,11,0,0,0,0,0,23.8547,9,0,0,0,0
5,21,-23,3,4,-11.4831,20.909,-11.4831,0,23.8547,9,0,0,0,0
6,21,-23,3,4,11.4831,-20.909,11.4831,0,23.8547,9,0,0,0,0
7,21,-51,6,0,13.8089,-3.15887,13.8089,0,12.7098,9,0,0,0,0
8,21,-51,6,0,-2.67008,-17.1231,-2.67008,0,12.7098,9,0,0,0,0
9,21,-52,5,5,-11.1388,20.2819,-11.1388,0,12.7098,9,0,0,0,0
10,21,-42,65,0,-3.4639e-14,4.79616e-14,-3.4639e-14,0,23.8547,9,0,0,0,0
11,21,-41,66,66,2.4869e-14,-4.9738e-14,2.4869e-14,0,23.8547,9,0,0,0,0
12,21,-44,9,9,-18.1065,29.7502,-18.1065,0,12.7098,9,0,0,0,0
13,21,-44,7,7,13.5486,-2.80518,13.5486,0,12.7098,9,0,0,0,0
14,21,-44,8,8,-2.74704,-17.0185,-2.74704,0,12.7098,9,0,0,0,0
15,21,-43,11,0,7.30491,-9.92651,7.30491,0,12.3301,9,0,0,0,0
16,21,-51,15,0,9.33166,-16.114,9.33166,0,11.2066,9,0,0,0,0
17,21,-51,15,0,-3.65615,8.86471,-3.65615,0,11.2066,9,0,0,0,0
18,21,-52,12,12,-16.477,27.0729,-16.477,0,11.2066,9,0,0,0,0
19,21,-51,17,0,-5.85172,-2.25919,-5.85172,0,7.95198,9,0,0,0,0
20,21,-51,17,0,5.39529,5.59859,5.39529,0,7.95198,9,0,0,0,0
21,21,-52,16,16,6.13193,-10.5887,6.13193,0,7.95198,9,0,0,0,0
22,21,-31,26,26,0,0,0,0,6.83467,9,0,0,0,0
23,21,-31,27,0,0,0,0,0,6.83467,9,0,0,0,0
24,21,-33,22,23,5.10415,4.54537,5.10415,0,6.83467,9,0,0,0,0
25,21,-33,22,23,-5.10415,-4.54537,-5.10415,0,6.83467,9,0,0,0,0
26,21,-42,34,34,-8.88178e-16,8.88178e-16,-8.88178e-16,0,6.83467,9,0,0,0,0
27,21,-41,35,0,-2.22045e-16,0,-2.22045e-16,0,6.83467,9,0,0,0,0
28,21,-44,24,24,7.10801,1.8752,7.10801,0,6.83467,9,0,0,0,0
29,21,-44,25,25,-4.38521,-5.50337,-4.38521,0,6.83467,9,0,0,0,0
30,21,-43,27,0,-2.7228,3.62817,-2.7228,0,5.73745,9,0,0,0,0
31,-3,-51,18,0,2.02,6.19654,2.02,0.5,5.62894,9,0,0,0,0
